"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 09- 30","9.8886","9.9793","9.9892","9.8037","","-1.00%"
"2015- 09- 29","9.9889","9.9636","10.0319","9.9398","","0.16%"
"2015- 09- 28","9.9732","9.8870","9.9916","9.8844","","0.80%"
"2015- 09- 25","9.8944","9.9104","9.9850","9.8114","","-0.25%"
"2015- 09- 24","9.9192","9.9247","10.0669","9.8760","","-0.14%"
"2015- 09- 23","9.9330","9.8565","9.9649","9.8300","","0.67%"
"2015- 09- 22","9.8669","9.7657","9.9154","9.7482","","0.93%"
"2015- 09- 21","9.7756","9.7749","9.8171","9.7465","","0.00%"
"2015- 09- 18","9.7757","9.7117","9.7900","9.6896","","0.54%"
"2015- 09- 17","9.7236","9.6958","9.7405","9.6007","","0.18%"
"2015- 09- 16","9.7061","9.7819","9.8339","9.6836","","-0.86%"
"2015- 09- 15","9.7902","9.8281","9.9200","9.7718","","-0.48%"
"2015- 09- 14","9.8377","9.7952","9.8699","9.7466","","0.30%"
"2015- 09- 11","9.8084","9.7972","9.8495","9.7677","","0.01%"
"2015- 09- 10","9.8075","9.8781","9.9920","9.7555","","-0.81%"
"2015- 09- 09","9.8872","9.9621","9.9756","9.7823","","-0.87%"
"2015- 09- 08","9.9742","10.0832","10.1293","9.9394","","-1.14%"
"2015- 09- 07","10.0893","10.0859","10.1228","10.0167","","-0.05%"
"2015- 09- 04","10.0948","9.9087","10.1015","9.8853","","1.77%"
"2015- 09- 03","9.9191","9.8320","9.9579","9.7946","","0.80%"
"2015- 09- 02","9.8407","9.8740","9.9046","9.7566","","-0.45%"
"2015- 09- 01","9.8852","9.7486","9.8910","9.6795","","1.31%"
"2015- 08- 31","9.7572","9.6845","9.7935","9.6797","","0.66%"
"2015- 08- 28","9.6937","9.6913","9.7816","9.6661","","-0.07%"
"2015- 08- 27","9.7007","9.8566","9.9137","9.6426","","-1.69%"
"2015- 08- 26","9.8670","10.0096","10.0587","9.8478","","-1.52%"
"2015- 08- 25","10.0198","10.0460","10.0841","9.7537","","-0.37%"
"2015- 08- 24","10.0569","9.8103","10.3470","9.7988","","2.62%"
"2015- 08- 21","9.8000","9.5920","9.8091","9.5806","","2.06%"
"2015- 08- 20","9.6020","9.5539","9.6288","9.5137","","0.39%"
"2015- 08- 19","9.5643","9.5248","9.5787","9.4953","","0.32%"
"2015- 08- 18","9.5340","9.5042","9.5505","9.4906","","0.22%"
"2015- 08- 17","9.5130","9.4792","9.5334","9.4651","","0.28%"
"2015- 08- 14","9.4866","9.4610","9.5245","9.4448","","0.16%"
"2015- 08- 13","9.4717","9.4388","9.5037","9.3964","","0.25%"
"2015- 08- 12","9.4484","9.4138","9.5544","9.4119","","0.26%"
"2015- 08- 11","9.4241","9.2916","9.4797","9.2691","","1.32%"
"2015- 08- 10","9.3011","9.3716","9.4035","9.2903","","-0.80%"
"2015- 08- 07","9.3757","9.3178","9.4045","9.2862","","0.50%"
"2015- 08- 06","9.3288","9.3915","9.4123","9.3119","","-0.74%"
"2015- 08- 05","9.3988","9.3928","9.4494","9.3739","","-0.03%"
"2015- 08- 04","9.4012","9.4320","9.4606","9.3484","","-0.42%"
"2015- 08- 03","9.4412","9.3968","9.4463","9.3694","","0.30%"
"2015- 07- 31","9.4132","9.4385","9.4660","9.3513","","-0.39%"
"2015- 07- 30","9.4500","9.3678","9.4625","9.3615","","0.79%"
"2015- 07- 29","9.3762","9.3830","9.4007","9.3287","","-0.17%"
"2015- 07- 28","9.3918","9.4619","9.5182","9.3744","","-0.86%"
"2015- 07- 27","9.4735","9.4485","9.5054","9.4196","","0.23%"
"2015- 07- 24","9.4520","9.3685","9.4926","9.3442","","0.78%"
"2015- 07- 23","9.3785","9.3223","9.4087","9.3190","","0.48%"
"2015- 07- 22","9.3337","9.2642","9.3408","9.2615","","0.65%"
"2015- 07- 21","9.2731","9.2999","9.3333","9.2515","","-0.38%"
"2015- 07- 20","9.3084","9.2588","9.3308","9.2525","","0.41%"
"2015- 07- 17","9.2700","9.2283","9.2801","9.2143","","0.36%"
"2015- 07- 16","9.2368","9.2632","9.2933","9.2071","","-0.36%"
"2015- 07- 15","9.2706","9.2526","9.2932","9.2222","","0.05%"
"2015- 07- 14","9.2658","9.1980","9.2842","9.1830","","0.63%"
"2015- 07- 13","9.2076","9.2601","9.2719","9.1423","","-0.08%"
"2015- 07- 10","9.2151","9.3220","9.3357","9.1713","","-1.24%"
"2015- 07- 09","9.3306","9.3988","9.4589","9.2839","","-0.82%"
"2015- 07- 08","9.4075","9.2510","9.4393","9.2364","","1.58%"
"2015- 07- 07","9.2610","9.1777","9.3053","9.1682","","0.81%"
"2015- 07- 06","9.1869","9.1859","9.2433","9.1525","","0.51%"
"2015- 07- 03","9.1406","9.1193","9.1592","9.0790","","0.12%"
"2015- 07- 02","9.1293","9.1266","9.1404","9.0791","","-0.06%"
"2015- 07- 01","9.1350","9.1342","9.1586","9.0888","","-0.09%"
"2015- 06- 30","9.1431","9.1323","9.1721","9.1013","","0.02%"
"2015- 06- 29","9.1412","9.1401","9.2120","9.1020","","0.82%"
"2015- 06- 26","9.0666","8.9857","9.1135","8.9771","","0.79%"
"2015- 06- 25","8.9951","8.9551","9.0206","8.9458","","0.35%"
"2015- 06- 24","8.9639","8.9208","8.9761","8.9137","","0.40%"
"2015- 06- 23","8.9284","8.9179","8.9500","8.9057","","0.01%"
"2015- 06- 22","8.9271","8.9712","8.9977","8.8985","","-0.73%"
"2015- 06- 19","8.9929","8.9818","9.0144","8.9452","","0.02%"
"2015- 06- 18","8.9910","9.0244","9.0350","8.9414","","-0.48%"
"2015- 06- 17","9.0346","9.0586","9.0783","9.0054","","-0.38%"
"2015- 06- 16","9.0689","9.0385","9.0836","9.0233","","0.24%"
"2015- 06- 15","9.0474","9.0006","9.0627","9.0006","","0.37%"
"2015- 06- 12","9.0138","9.0113","9.0413","8.9739","","-0.09%"
"2015- 06- 11","9.0216","9.0442","9.0674","8.9695","","-0.37%"
"2015- 06- 10","9.0553","9.0097","9.0784","8.9851","","0.40%"
"2015- 06- 09","9.0192","8.9789","9.0344","8.9569","","0.35%"
"2015- 06- 08","8.9880","8.9451","9.0257","8.9092","","0.41%"
"2015- 06- 05","8.9516","8.9456","8.9579","8.8530","","-0.03%"
"2015- 06- 04","8.9540","8.9048","8.9874","8.8877","","0.46%"
"2015- 06- 03","8.9132","8.9154","8.9460","8.8769","","-0.12%"
"2015- 06- 02","8.9238","8.9359","8.9649","8.9092","","-0.24%"
"2015- 06- 01","8.9457","8.9597","8.9873","8.9278","","-0.22%"
"2015- 05- 29","8.9654","8.9351","9.0054","8.9255","","0.24%"
"2015- 05- 28","8.9443","8.9611","8.9808","8.9046","","-0.30%"
"2015- 05- 27","8.9712","8.9885","9.0138","8.9362","","-0.32%"
"2015- 05- 26","8.9998","9.0155","9.0435","8.9640","","-0.27%"
"2015- 05- 25","9.0240","9.0206","9.0369","8.9933","","0.01%"
"2015- 05- 22","9.0229","9.0230","9.0457","8.9779","","-0.11%"
"2015- 05- 21","9.0328","9.0233","9.0625","9.0157","","-0.01%"
"2015- 05- 20","9.0336","9.0654","9.0880","9.0153","","-0.46%"
"2015- 05- 19","9.0755","9.0788","9.1160","9.0517","","-0.14%"
"2015- 05- 18","9.0878","9.0753","9.1021","9.0526","","0.03%"
"2015- 05- 15","9.0847","9.1242","9.1784","9.0607","","-0.55%"
"2015- 05- 14","9.1353","9.1616","9.2089","9.1204","","-0.40%"
"2015- 05- 13","9.1723","9.1096","9.1874","9.0891","","0.57%"
"2015- 05- 12","9.1206","9.1269","9.1543","9.0967","","-0.18%"
"2015- 05- 11","9.1367","9.0776","9.1461","9.0483","","0.61%"
