,시점,KRW/USD,경제심리지수(원계열),뉴스심리지수,원자재구입가격실적,"M2(말잔, 원계열)",미국M2,USBIR,KOBIR,KOTN,USTN,달러결제수출금액,달러결제수입금액,달러결제수출비율,달러결제수입비율,한국생산자물가지수,미국생산자물가지수,한국외환보유액,미국외환보유액,한국실업률,미국실업률,KOSPI,Dow Jones
62,201003,1108.4,115.1,108.95,120,1609271.8,8576.6,0.125,2,4.92,3.826,31844.4,28209.4,85.4,79.3,98.25,99.03,272331,127505.4,3.7,9.9,1692.85,10856.63
63,201004,1202.5,116.5,112.77,129,1620071.8,8601.8,0.125,2,4.91,3.653,33859.3,28630.2,86.2,80.6,98.97,99.12,278873,127038.92,3.6,9.9,1741.56,11008.61
64,201005,1222.2,115.7,107.91,130,1632746.4,8584.2,0.125,2,4.95,3.285,33600.1,28735.6,86.4,82.4,99.81,99.32,270221,124176.04,3.2,9.6,1641.25,10136.63
65,201006,1182.7,114.7,109.93,125,1645713.7,8606.4,0.125,2,4.93,2.931,36421.2,28561,86.6,81,99.92,99.42,274219,124969.68,3.5,9.4,1698.29,9774.02
66,201007,1198.1,114.5,109.59,121,1644278.7,8576.9,0.125,2.25,4.91,2.905,34860.5,29036.7,86.2,82,100.17,99.9,285958,129162.16,3.8,9.4,1759.33,10465.94
67,201008,1140.2,113.2,105.05,120,1647880.8,8607.7,0.125,2.25,4.68,2.468,31343.2,28149.7,85.9,79.8,100.48,100,285353,129392.22,3.5,9.5,1742.75,10014.72
68,201009,1125.3,113.6,109.98,121,1652908,8649.5,0.125,2.25,4.28,2.51,34260.9,28494.5,86.9,81.4,101.05,100.1,289775,132374.73,3.8,9.5,1872.81,10788.05
69,201010,1159.7,111.6,108.51,121,1674134.4,8710.4,0.125,2.25,4.11,2.599,37061.5,30408.6,85.5,82.2,101.42,100.78,293348,136116.61,3.7,9.4,1882.95,11118.49
70,201011,1134.8,112.9,110.97,124,1678849.9,8775.5,0.125,2.5,4.48,2.797,35006.4,31738.7,84.8,82.1,101.78,101.56,290231,131971.24,3.3,9.8,1904.63,11006.02
71,201012,1121.5,111.3,112.2,125,1660530,8857.6,0.125,2.5,4.46,3.294,37766.6,33019.6,85.6,82.4,102.72,102.53,291571,132736.8,3.7,9.3,2051,11577.51
72,201101,1128.7,111.2,115.44,136,1669219,8850.0,0.125,2.75,4.69,3.37,38361.6,34910.5,86.3,83.2,104.3,103.22,295956,133944.8,3.5,9.1,2069.73,11891.93
73,201102,1096.7,112.6,102.18,133,1673697.1,8887.1,0.125,2.75,4.76,3.427,33057.6,29717.9,85.9,81.6,105.08,103.41,297667,134647.84,3.7,9,1939.3,12226.34
74,201103,1071.5,109.2,97.23,141,1675788.6,9000.6,0.125,3,4.51,3.47,41427.8,37226.4,86.2,81.7,106.34,103.31,298618,135412.53,3.8,9,2106.7,12319.73
75,201104,1079.2,112.7,107.81,140,1689262.4,9055.6,0.125,3,4.48,3.286,42129.3,36408.8,86.8,82.4,107,103.61,307199,142925.14,3.5,9.1,2192.36,12810.54
76,201105,1067.7,110.9,103.83,129,1684435.6,9025.6,0.125,3,4.34,3.061,40582.8,37529.3,85.7,82.9,107.32,103.7,305084,140889.18,3.3,9,2142.47,12569.79
77,201106,1054.5,107.9,100.81,121,1693131.7,9113.9,0.125,3.25,4.24,3.16,39423.5,36822.2,84.4,82.1,107.08,103.9,304485,146481.46,3.3,9.1,2100.69,12414.34
78,201107,1066.8,107.2,106.13,122,1713183.3,9266.6,0.125,3.25,4.23,2.796,42028.9,36422.4,85.9,82.2,107.22,103.61,311031,148623.11,3.3,9,2133.21,12143.24
79,201108,1178.1,105.7,85.55,119,1712196.4,9461.8,0.125,3.25,3.96,2.223,39338.8,37132.6,85.9,81.8,107.36,103.7,312195,150970.86,3.2,9,1880.11,11613.53
80,201109,1110,105.6,88.83,118,1727997.3,9500.3,0.125,3.25,3.75,1.915,39389,37338.9,84.7,82.5,107.44,103.31,303384,146311.64,3.3,9,1769.65,10913.38
81,201110,1143,103.6,97.82,116,1742069,9550.1,0.125,3.25,3.86,2.113,39888.7,35753.4,85.6,83.7,107.34,103.9,310976,152684.4,3.2,8.8,1909.03,11955.01
82,201111,1151.8,103.6,96.28,111,1750933.8,9633.1,0.125,3.25,3.8,2.068,39209,35579.7,85.2,82.7,107,104.39,308631,147798.18,3.3,8.6,1847.51,12045.68
83,201112,1123.3,99.6,97.06,106,1751458.4,9729.2,0.125,3.25,3.81,1.876,41174.7,37699.7,86.2,82.9,107.1,104.97,306402,146664.57,3.2,8.5,1825.74,12217.56
84,201201,1118.7,100.7,102.46,111,1750088,9761.9,0.125,3.25,3.8,1.797,35348.2,36048.6,85.8,82.8,107.65,105.26,311341,149526.92,3.2,8.3,1955.79,12632.91
85,201202,1133,104.4,97.58,114,1757601,9787.0,0.125,3.25,3.81,1.971,39544.7,37567.8,85.4,83.3,108.39,105.07,315804,149258.47,3.4,8.3,2030.25,12952.07
86,201203,1130,105.5,105.26,113,1782765.5,9903.1,0.125,3.25,3.95,2.209,40583.1,37655.7,85.7,83.6,108.92,104.68,315952,148444.91,3.3,8.2,2014.04,13212.04
87,201204,1180.3,109,103.14,108,1765825.9,9948.9,0.125,3.25,3.9,1.914,39430.4,36454.2,85.5,82.9,108.98,104.68,316837,149811.98,3.3,8.2,1981.99,13213.63
88,201205,1145.4,105.1,94.17,105,1781035.2,9882.9,0.125,3.25,3.75,1.558,39962.5,37568.1,85.3,84.5,108.37,104.97,310872,149484.54,3.1,8.2,1843.47,12393.45
89,201206,1130.6,100.3,94.31,103,1803812.4,9960.8,0.125,3.25,3.63,1.645,40151.4,35399.3,85.1,84.3,107.06,105.46,312378,149836.09,3.2,8.2,1854.01,12880.09
90,201207,1134.7,96,91.13,104,1808371,10005.9,0.125,3,3.3,1.468,37670.1,34863.1,84.3,83.1,106.58,105.56,314348,149532.13,3.1,8.2,1881.99,13008.68
91,201208,1111.4,94.5,89.59,109,1809558.8,10069.0,0.125,3,3.09,1.548,36625.2,34951.4,85.1,85,107.24,105.46,316885,151071.48,3.2,8.1,1905.12,13090.84
92,201209,1090.7,93.4,95.23,112,1824002.8,10165.2,0.125,3,3.05,1.634,38216.3,36299.4,84.2,85.3,107.62,105.26,322015,153770.87,3.2,7.8,1996.21,13437.13
