,시점,const,경제심리지수(원계열),뉴스심리지수,원자재구입가격실적,달러결제수출비율,달러결제수입비율,달러결제순수입액,KO/US M2,BIRDIFF,TNDIFF,KO/US FER,KO/US PPI,KO/US SI,EIRDIFF,KRW/USD
20,200609,1.0,107.0,101.61,0.17,0.818,0.812,-1816.5,160.78689827593684,0.75,-0.26199999999999957,3.4464512231954094,0.9670629294361436,0.11742458945789348,1.0,942.3
21,200610,1.0,109.4,98.4,0.08,0.8240000000000001,0.8109999999999999,-2309.9000000000015,159.63484380610413,0.75,-0.19200000000000017,3.4584985003089814,0.9770907473309608,0.11295261130742927,0.8000000000000003,929.5
22,200611,1.0,109.6,99.21,0.08,0.823,0.809,-3535.2999999999993,160.65122635197656,0.75,-0.45199999999999996,3.522026100553284,0.9581369863013699,0.11718361993564028,1.0,929.8
23,200612,1.0,107.4,98.22,0.08,0.828,0.7979999999999999,-1866.0,161.86562161096322,0.75,-0.24800000000000022,3.6176403796950933,0.9515250544662309,0.11509610331256545,1.0000000000000004,941.0
24,200701,1.0,106.3,91.76,0.08,0.833,0.812,-1019.2000000000007,161.07924544250656,0.75,-0.2320000000000002,3.704265095910689,0.9609503904960951,0.10776924484756004,1.1999999999999997,941.8
25,200702,1.0,112.7,96.38,0.02,0.8220000000000001,0.8029999999999999,-1161.5,161.83917746177758,0.75,-0.44399999999999995,3.7125514120147396,0.9452795501243646,0.11552553137554886,1.4,940.9
26,200703,1.0,113.3,97.47,0.13,0.821,0.799,-1540.0,161.5032326988179,0.75,-0.29600000000000026,3.6707651095593548,0.9354288758657433,0.1175739719208214,1.2000000000000002,930.8
27,200704,1.0,114.7,106.32,0.21,0.818,0.799,-830.2999999999993,159.15356677859248,0.75,-0.4480000000000004,3.698728496634256,0.9303304567459483,0.11806251440146186,1.2000000000000002,927.7
28,200705,1.0,114.1,107.11,0.23,0.8220000000000001,0.821,-999.0,162.44645767159233,0.75,-0.33199999999999985,3.8086276296802613,0.9253669199542002,0.12481324719467202,1.1000000000000005,923.8
29,200706,1.0,112.9,107.64,0.25,0.8220000000000001,0.813,-3117.399999999998,165.35571234437413,0.75,-0.4560000000000004,3.806878748766229,0.924545926310327,0.13003575312000787,1.2999999999999998,919.3
30,200707,1.0,114.5,111.95,0.19,0.821,0.809,-1164.1000000000022,164.98191522935275,0.5,-0.7809999999999997,3.8000506993528376,0.9188214690429587,0.1463269348523576,1.4000000000000004,938.3
31,200708,1.0,116.8,97.83,0.13,0.83,0.8059999999999999,-1838.5999999999985,164.50868358013938,0.25,-0.891,3.789212776062693,0.9327194726378571,0.14023629745750404,1.2999999999999998,915.1
32,200709,1.0,116.0,103.74,0.16,0.82,0.8170000000000001,-1814.300000000003,166.547491720506,-0.25,-0.9329999999999998,3.730141931368427,0.9311707215637346,0.14007857146455396,1.5,900.7
33,200710,1.0,114.7,108.12,0.26,0.809,0.804,-1552.7000000000007,168.62524056053994,-0.5,-1.0889999999999995,3.7339668140322675,0.9265875064532783,0.1482303314929422,1.4000000000000004,921.1
34,200711,1.0,113.8,97.23,0.24,0.82,0.8029999999999999,-2126.0,169.5115372203098,-0.5,-1.6720000000000002,3.691986750299528,0.9081930867681145,0.14253962840980816,1.4000000000000004,936.1
35,200712,1.0,111.1,102.99,0.27,0.8320000000000001,0.805,-193.0,169.71987686895338,-0.75,-1.7970000000000006,3.709807028464716,0.9138470861529139,0.1430196565049507,1.7999999999999998,943.9
36,200801,1.0,111.3,98.54,0.32,0.8290000000000001,0.8240000000000001,3166.199999999997,172.71094020739477,-2.0,-1.9669999999999996,3.6572629638422973,0.9068168228024716,0.1284295466690276,2.0,939.0
37,200802,1.0,113.7,97.88,0.34,0.826,0.813,768.5,173.38662131519274,-2.0,-1.7700000000000005,3.56857224466479,0.9066943127962085,0.13953738630518026,2.0000000000000004,990.4
38,200803,1.0,106.6,88.12,0.56,0.8190000000000001,0.81,584.2999999999993,170.54942221991917,-2.75,-1.9500000000000002,3.484256329113924,0.8931451612903226,0.13895500978969885,2.0999999999999996,1002.6
39,200804,1.0,108.0,103.73,0.56,0.8320000000000001,0.8059999999999999,-646.2000000000007,173.90986920026776,-3.0,-1.4419999999999997,3.4944929636039226,0.8976660682226212,0.14239124499808894,1.9,1030.1
40,200805,1.0,103.6,93.06,0.56,0.8440000000000001,0.83,-1114.0,176.78141417286065,-3.0,-1.4400000000000004,3.4816477885652644,0.8891641434994036,0.14654004646187152,2.2,1046.0
41,200806,1.0,98.7,76.31,0.6,0.843,0.81,-782.8999999999978,177.00527697660283,-3.0,-1.9209999999999998,3.420283325161342,0.8859199280251912,0.14756991403531802,2.4999999999999996,1012.2
42,200807,1.0,93.6,79.55,0.59,0.855,0.833,772.7999999999956,177.6621820529374,-3.0,-2.084,3.292185941344683,0.8811446629213483,0.14015355923086795,2.6999999999999997,1089.0
43,200808,1.0,101.8,75.88,0.3,0.865,0.8240000000000001,1630.0,180.04448060754,-3.25,-2.0980000000000003,3.354020135153772,0.9073604060913706,0.12771114605125808,2.8,1207.0
44,200809,1.0,97.8,70.51,0.28,0.865,0.83,427.1000000000022,178.16058907825374,-3.25,-2.1670000000000003,3.28371787143092,0.9133302794319743,0.13345363323521334,2.8999999999999995,1291.0
45,200810,1.0,82.5,60.04,0.24,0.851,0.825,-1775.0999999999985,178.15609497481725,-3.25,-1.5660000000000003,3.0328789437585733,0.9622568469950644,0.11936287467788237,3.2,1469.0
46,200811,1.0,71.2,65.53,0.09,0.8420000000000001,0.8270000000000001,-415.90000000000146,178.20970982839313,-3.0,-2.8100000000000005,2.834728270089917,0.9908172635445363,0.12187848282485976,3.4,1259.5
47,200812,1.0,61.2,72.73,0.0,0.843,0.802,-1545.4000000000015,173.22328858652736,-2.875,-2.658,2.5687823933413334,1.0078108507494195,0.12812443385036446,3.9,1379.5
48,200901,1.0,67.7,76.45,0.0,0.846,0.823,2607.2999999999993,174.6396380068629,-2.375,-1.58,2.6712170965520894,1.0031608892635129,0.14524813582539875,4.5,1534.0
49,200902,1.0,70.5,80.19,0.09,0.861,0.792,-3959.7999999999993,177.0533521167461,-1.875,-2.2270000000000003,2.740085111011407,1.0213106020245073,0.1505083584291505,5.000000000000001,1383.5
50,200903,1.0,73.5,89.93,0.15,0.856,0.7979999999999999,-4793.5999999999985,173.82982075795806,-1.875,-2.307,2.7414404719199648,1.033479987123082,0.15853235413172959,5.1,1282.0
51,200904,1.0,90.4,99.01,0.09,0.861,0.792,-6409.600000000002,175.55736539714505,-1.875,-1.7810000000000001,2.800295214623667,1.0285897162363986,0.16764690038833904,5.3,1255.0
52,200905,1.0,95.6,99.85,0.07,0.857,0.813,-4823.100000000002,177.7933583275989,-1.875,-1.5909999999999997,2.8838161609481903,1.0105618926911704,0.16421597749734423,5.5,1273.9
53,200906,1.0,98.9,101.13,0.1,0.8640000000000001,0.79,-7539.0999999999985,178.84712070415696,-1.875,-1.7269999999999999,2.819366377107818,0.9888094497979484,0.16456375044394458,5.6,1228.5
54,200907,1.0,99.7,108.91,0.13,0.857,0.8079999999999999,-4977.600000000002,179.23980684142919,-1.875,-1.6999999999999997,2.848695652173913,1.0093067029174945,0.1697946162124207,5.7,1248.9
55,200908,1.0,108.2,105.46,0.15,0.858,0.8009999999999999,-2874.5,182.01579882432898,-1.875,-2.0420000000000003,1.9324800710704602,1.0006184929388722,0.16762879780292914,5.8,1178.1
56,200909,1.0,109.5,109.23,0.17,0.851,0.804,-4937.100000000002,183.5866061537362,-1.875,-2.0749999999999997,1.8978100991112696,1.0067350533623458,0.17227056880567693,6.200000000000001,1182.5
57,200910,1.0,112.0,106.15,0.11,0.845,0.809,-4110.9000000000015,184.50363144403303,-1.875,-2.067,1.9676347628012036,0.9924835255354201,0.16274415123245475,6.4,1162.8
58,200911,1.0,108.5,105.4,0.17,0.845,0.792,-5303.4000000000015,184.01533901096315,-1.875,-2.1919999999999997,1.975464430161952,0.9835265405735204,0.1503744862172832,6.2,1164.5
59,200912,1.0,110.0,114.77,0.12,0.851,0.794,-4518.5,183.39244121399392,-1.875,-1.4729999999999994,2.058293475393789,0.9854014598540146,0.1613695753280815,6.300000000000001,1161.8
60,201001,1.0,113.0,113.22,0.16,0.851,0.8240000000000001,-158.60000000000218,187.78506450545814,-1.875,-1.7659999999999996,2.1005488869149285,0.985862869837423,0.15917129963952706,5.1000000000000005,1160.0
61,201002,1.0,116.2,104.91,0.19,0.861,0.799,-3633.7999999999993,187.69409054581354,-1.875,-1.6879999999999997,2.091083990560223,0.9856883692803871,0.15443485200372678,5.800000000000001,1131.3
62,201003,1.0,115.1,108.95,0.2,0.8540000000000001,0.7929999999999999,-3635.0,187.6351701140312,-1.875,-1.0939999999999999,2.1358389527031796,0.9921235989094214,0.1559277602718339,6.2,1108.4
63,201004,1.0,116.5,112.77,0.29,0.862,0.8059999999999999,-5229.100000000002,188.34102164663213,-1.875,-1.2570000000000001,2.1951776668126586,0.9984866828087167,0.15819980905854597,6.300000000000001,1202.5
64,201005,1.0,115.7,107.91,0.3,0.8640000000000001,0.8240000000000001,-4864.5,190.20367652198223,-1.875,-1.665,2.1761122355005043,1.0049335481272654,0.16191278561020775,6.3999999999999995,1222.2
65,201006,1.0,114.7,109.93,0.25,0.866,0.81,-7860.199999999997,191.2197550659974,-1.875,-1.9989999999999997,2.1942842455866094,1.0050291691812512,0.17375552740837444,5.9,1182.7
66,201007,1.0,114.5,109.59,0.21,0.862,0.82,-5823.799999999999,191.7101400272826,-2.125,-2.0050000000000003,2.2139456323740636,1.0027027027027027,0.16810052417651924,5.6000000000000005,1198.1
67,201008,1.0,113.2,105.05,0.2,0.8590000000000001,0.7979999999999999,-3193.5,191.44263856779395,-2.125,-2.2119999999999997,2.205333520052442,1.0048000000000001,0.17401884426124745,6.0,1140.2
68,201009,1.0,113.6,109.98,0.21,0.8690000000000001,0.8140000000000001,-5766.4000000000015,191.0986762240592,-2.125,-1.7700000000000005,2.1890507349854462,1.0094905094905096,0.17360041898211448,5.7,1125.3
69,201010,1.0,111.6,108.51,0.21,0.855,0.8220000000000001,-6652.9000000000015,192.19948567229977,-2.125,-1.5110000000000001,2.1551227289601176,1.0063504663623735,0.16935303265101648,5.7,1159.7
70,201011,1.0,112.9,110.97,0.24,0.848,0.821,-3267.7000000000007,191.31102501281978,-2.375,-1.6830000000000003,2.1991988557506925,1.0021662071681765,0.17305347437129862,6.500000000000001,1134.8
71,201012,1.0,111.3,112.2,0.25,0.856,0.8240000000000001,-4747.0,187.46951770231212,-2.375,-1.166,2.1966101337383455,1.0018531161611235,0.17715380941152287,5.6000000000000005,1121.5
72,201101,1.0,111.2,115.44,0.36,0.863,0.8320000000000001,-3451.0999999999985,188.6123163841808,-2.625,-1.3200000000000003,2.2095370630289493,1.010463088548731,0.1740449195378715,5.6,1128.7
73,201102,1.0,112.6,102.18,0.33,0.8590000000000001,0.816,-3339.699999999997,188.32882492601635,-2.625,-1.3329999999999997,2.2107075761482693,1.016149308577507,0.15861656063875207,5.3,1096.7
74,201103,1.0,109.2,97.23,0.41,0.862,0.8170000000000001,-4201.4000000000015,186.18632091193922,-2.875,-1.0399999999999996,2.2052464421128533,1.0293292033685026,0.17100212423486552,5.2,1071.5
75,201104,1.0,112.7,107.81,0.4,0.868,0.8240000000000001,-5720.5,186.54339856000706,-2.875,-1.1940000000000004,2.1493699428945807,1.0327188495318984,0.17113720420840964,5.6,1079.2
76,201105,1.0,110.9,103.83,0.29,0.857,0.8290000000000001,-3053.5,186.6286562666194,-2.875,-1.279,2.1654182386468572,1.0349083895853421,0.17044596608217,5.7,1067.7
77,201106,1.0,107.9,100.81,0.21,0.8440000000000001,0.821,-2601.300000000003,185.77466287758259,-3.125,-1.08,2.07865896475909,1.03060635226179,0.16921479514819152,5.8,1054.5
78,201107,1.0,107.2,106.13,0.22,0.8590000000000001,0.8220000000000001,-5606.5,184.87722573543695,-3.125,-1.4340000000000006,2.092749909485813,1.0348421966991603,0.1756705788570431,5.7,1066.8
79,201108,1.0,105.7,85.55,0.19,0.8590000000000001,0.818,-2206.2000000000044,180.95884504005582,-3.125,-1.737,2.0679156229221984,1.0352941176470587,0.1618896235683724,5.8,1178.1
80,201109,1.0,105.6,88.83,0.18,0.847,0.825,-2050.0999999999985,181.88870877761758,-3.125,-1.835,2.0735465749683346,1.039976768947827,0.16215416305489228,5.7,1110.0
81,201110,1.0,103.6,97.82,0.16,0.856,0.8370000000000001,-4135.299999999996,182.4136920032251,-3.125,-1.7469999999999999,2.036724118508505,1.0331087584215592,0.15968451720241136,5.6000000000000005,1143.0
82,201111,1.0,103.6,96.28,0.11,0.852,0.8270000000000001,-3629.300000000003,181.76223645555427,-3.125,-1.7319999999999998,2.0881921550048856,1.0250023948654086,0.15337531795631296,5.3,1151.8
83,201112,1.0,99.6,97.06,0.06,0.862,0.8290000000000001,-3475.0,180.0208033548493,-3.125,-1.9340000000000002,2.089134410580551,1.0202915118605316,0.14943573021126969,5.3,1123.3
84,201201,1.0,100.7,102.46,0.11,0.858,0.828,700.4000000000015,179.27739476946087,-3.125,-2.003,2.0821735644658497,1.0227056811704351,0.15481706115218108,5.1000000000000005,1118.7
85,201202,1.0,104.4,97.58,0.14,0.8540000000000001,0.833,-1976.8999999999942,179.58526616940838,-3.125,-1.839,2.115819624842731,1.031597982297516,0.15675100582377952,4.9,1133.0
86,201203,1.0,105.5,105.26,0.13,0.857,0.836,-2927.4000000000015,180.02095303490825,-3.125,-1.741,2.1284124864907796,1.0405043943446695,0.1524397443543919,4.8999999999999995,1130.0
87,201204,1.0,109.0,103.14,0.08,0.855,0.8290000000000001,-2976.2000000000044,177.489561660083,-3.125,-1.986,2.114897620337172,1.0410775697363392,0.14999587547100987,4.8999999999999995,1180.3
88,201205,1.0,105.1,94.17,0.05,0.853,0.845,-2394.4000000000015,180.21382387760679,-3.125,-2.192,2.079626428258066,1.0323902067257311,0.14874550669910314,5.1,1145.4
89,201206,1.0,100.3,94.31,0.03,0.851,0.843,-4752.0999999999985,181.09111717934303,-3.125,-1.9849999999999999,2.0847981284081825,1.0151716290536696,0.14394386995743041,4.999999999999999,1130.6
90,201207,1.0,96.0,91.13,0.04,0.843,0.831,-2807.0,180.73046902327627,-2.875,-1.8319999999999999,2.102210407890264,1.0096627510420613,0.14467186524689668,5.1,1134.7
91,201208,1.0,94.5,89.59,0.09,0.851,0.85,-1673.7999999999956,179.7158406991757,-2.875,-1.5419999999999998,2.0975832102790015,1.0168784373222075,0.14553076807905374,4.8999999999999995,1111.4
92,201209,1.0,93.4,95.23,0.12,0.8420000000000001,0.853,-1916.9000000000015,179.43599732420415,-2.875,-1.416,2.094122248251571,1.0224206726201786,0.14855925335246442,4.6,1090.7
93,201210,1.0,91.5,92.47,0.07,0.8440000000000001,0.84,-3307.2999999999956,177.98070428858654,-2.625,-1.2800000000000002,2.1180697454781616,1.0115574081091323,0.1459982315831912,4.699999999999999,1082.9
94,201211,1.0,90.6,97.22,-0.01,0.846,0.841,-3939.899999999994,177.10474717200037,-2.625,-1.374,2.1505846506934687,1.0000943040362127,0.14839262435914563,4.5,1070.6
95,201212,1.0,91.2,98.35,0.03,0.853,0.836,-2308.600000000006,174.3017642478683,-2.625,-1.373,2.160029738659048,0.9948279104758323,0.15239840233697138,4.800000000000001,1089.0
96,201301,1.0,94.4,99.16,0.07,0.8540000000000001,0.852,-400.0,175.5659014333847,-2.625,-1.0649999999999997,2.195109173161752,0.9973644578313253,0.14154818918111653,4.8,1083.0
97,201302,1.0,96.2,93.21,0.06,0.847,0.852,-1385.0999999999985,176.8905534351145,-2.625,-1.1640000000000001,2.192267178373122,1.006035458317616,0.14418808508882214,4.5,1111.1
98,201303,1.0,98.3,96.32,0.09,0.848,0.846,-2930.300000000003,175.78470673479566,-2.625,-1.0610000000000002,2.223239729803525,0.9984027060039462,0.13752337339678733,4.4,1101.2
99,201304,1.0,97.9,92.53,0.02,0.851,0.838,-2693.0,174.63736181234634,-2.625,-1.168,2.243859854693254,0.992504450482526,0.13234342780900013,4.6,1129.7
100,201305,1.0,97.2,97.91,0.08,0.851,0.845,-5274.5999999999985,177.18548592927297,-2.375,-0.7719999999999998,2.2559686786189217,0.9890377588306942,0.13238336364424233,4.5,1142.0
101,201306,1.0,96.3,89.86,0.02,0.857,0.841,-5771.800000000003,177.84950156436446,-2.375,-0.8239999999999998,2.252966197294108,0.9897777360967833,0.12497451306540752,4.4,1123.5
102,201307,1.0,95.6,95.38,0.07,0.857,0.8320000000000001,-3197.0,175.71420948672102,-2.375,-0.8940000000000001,2.238106134653198,0.9869060980172091,0.12348947130043858,4.1,1110.0
103,201308,1.0,95.3,92.28,0.05,0.863,0.835,-5200.800000000003,176.7164928292047,-2.375,-0.8260000000000001,2.2436795330568224,0.9924036387508206,0.13006885068577229,4.0,1074.7
104,201309,1.0,96.1,103.88,0.04,0.8590000000000001,0.843,-3764.4000000000015,175.84581571178708,-2.375,-0.9199999999999999,2.281434681555808,0.9922087674833381,0.13198966005206988,4.2,1060.7
105,201310,1.0,97.6,94.86,0.04,0.84,0.8390000000000001,-4132.199999999997,174.80221348211836,-2.375,-0.8860000000000001,2.2962082251547953,0.9851290684624018,0.13058810285769423,4.1,1058.2
106,201311,1.0,97.8,100.96,0.02,0.845,0.841,-4218.299999999996,175.6951226177896,-2.375,-0.839,2.3573459039499,0.9795918367346939,0.12711785911213253,3.8000000000000003,1055.4
107,201312,1.0,97.7,96.59,0.03,0.8540000000000001,0.841,-3672.2999999999956,172.97758525976425,-2.375,-0.625,2.377246826232081,0.9756458931382536,0.12133566110422726,3.5,1070.4
108,201401,1.0,100.2,93.56,0.03,0.847,0.87,332.0,175.31771996829283,-2.375,-1.0029999999999997,2.4131403434282004,0.9764303540068399,0.12364918449440565,3.3999999999999995,1067.5
109,201402,1.0,102.4,97.52,0.04,0.8440000000000001,0.8390000000000001,-913.0,175.69153800634786,-2.375,-0.8739999999999997,2.4086009961756596,0.9769117103804951,0.12131020585465617,3.1,1064.7
110,201403,1.0,100.8,104.12,-0.02,0.856,0.843,-3594.4000000000015,173.87664917009505,-2.375,-0.8250000000000002,2.444761374949125,0.9755489942793875,0.12064959417073873,3.3000000000000003,1033.2
111,201404,1.0,102.1,104.79,0.01,0.855,0.835,-4651.199999999997,173.14710190970382,-2.375,-0.8940000000000001,2.4617545815152115,0.9705801231957341,0.1183166835938348,2.6,1020.1
112,201405,1.0,100.6,102.91,0.01,0.856,0.84,-4963.0999999999985,176.8417178131763,-2.375,-0.9260000000000002,2.5226544946156655,0.9703962489657074,0.11933598808889305,2.8,1011.8
113,201406,1.0,97.2,101.99,0.04,0.863,0.843,-5507.199999999997,176.42562275068804,-2.375,-0.7560000000000002,2.543484483395698,0.9752493535278906,0.11899076462268077,2.5999999999999996,1027.9
114,201407,1.0,95.3,104.41,-0.03,0.846,0.838,-2362.0999999999985,177.01786372654016,-2.375,-0.4980000000000002,2.552130163867081,0.9732915822435072,0.12534458712937638,2.7,1014.0
115,201408,1.0,97.5,108.61,-0.01,0.868,0.848,-3698.5,178.4009822546333,-2.125,-0.7429999999999999,2.594130340202661,0.9775905176405223,0.1209782173237925,2.4999999999999996,1055.2
116,201409,1.0,100.2,102.21,-0.03,0.87,0.848,-3803.2000000000044,177.5448973898488,-2.125,-0.5230000000000001,2.637969526390771,0.9785116279069768,0.11852971031925316,2.4000000000000004,1068.5
117,201410,1.0,95.5,96.51,0.0,0.855,0.847,-6817.4000000000015,179.23630249770335,-1.875,-0.43400000000000016,2.665162585154144,0.9768986157875047,0.11295981948785891,2.1,1107.9
118,201411,1.0,97.1,105.14,-0.03,0.87,0.838,-5899.5,180.2138613861386,-1.875,-0.528,2.69816095245873,0.9756394640682094,0.11110350769341223,2.3,1099.3
119,201412,1.0,96.2,100.09,-0.05,0.865,0.8290000000000001,-6393.0999999999985,176.63554421768708,-1.875,-0.5100000000000002,2.74988782041707,0.9634647729396375,0.10747811684518997,1.9999999999999996,1093.5
120,201501,1.0,97.8,104.49,-0.1,0.865,0.843,-5906.4000000000015,178.26331320690537,-1.875,-0.774,2.857452574867836,0.951691272659316,0.1135604822618184,2.2,1098.4
121,201502,1.0,102.4,106.28,-0.06,0.87,0.8220000000000001,-8112.899999999998,178.97346185986444,-1.875,-0.353,2.872440935894002,0.9488874406479844,0.10951485437910514,1.9,1109.5
122,201503,1.0,100.7,112.7,-0.01,0.862,0.815,-9006.700000000004,177.97171460352772,-1.625,-0.35299999999999976,2.9446044213144065,0.9443413729128015,0.11481864433858457,1.9000000000000004,1072.4
123,201504,1.0,103.0,115.28,-0.01,0.86,0.816,-8844.0,178.79892042283439,-1.625,-0.14500000000000002,3.0768757278323076,0.9423094730993612,0.1192325111599886,1.8000000000000003,1108.2
124,201505,1.0,101.5,109.25,0.04,0.857,0.8290000000000001,-6432.600000000002,182.69866223263548,-1.625,-0.3690000000000002,3.102100459671258,0.9454967502321262,0.11741922015159895,1.8999999999999995,1115.5
125,201506,1.0,91.3,100.91,0.01,0.868,0.809,-10825.8,183.2063615464995,-1.375,-0.11499999999999977,3.101709955120889,0.9501493651979088,0.11772177546367635,1.5,1170.0
126,201507,1.0,95.1,102.89,-0.03,0.86,0.8220000000000001,-7540.399999999998,182.88129427532073,-1.375,-0.27,3.110637590026351,0.9474864511306299,0.11476405127004963,1.5,1182.5
127,201508,1.0,96.5,95.62,-0.06,0.862,0.818,-5280.5999999999985,183.79444757423119,-1.375,-0.08999999999999986,3.0473498827897756,0.9451373909781488,0.11746650992284018,1.3999999999999995,1185.3
128,201509,1.0,96.1,100.75,0.03,0.8590000000000001,0.809,-9372.5,182.95382346641182,-1.375,-0.17900000000000027,3.042912024666406,0.9434831671995486,0.12053092780339827,1.5,1140.1
129,201510,1.0,96.8,109.66,-0.03,0.845,0.8220000000000001,-6427.5999999999985,184.028155938052,-1.375,0.053999999999999826,3.089283650052311,0.9320052375607931,0.11489599480058924,1.5,1158.1
130,201511,1.0,96.5,106.13,-0.06,0.8690000000000001,0.8109999999999999,-10867.199999999997,182.08571382105887,-1.375,-0.04800000000000004,3.148491891840622,0.9291331211383637,0.11241416439803341,1.4999999999999996,1172.5
131,201512,1.0,93.4,101.4,-0.08,0.851,0.7929999999999999,-7946.799999999999,180.84177576786593,-1.125,0.08800000000000008,3.106282294320927,0.9261129816685372,0.11255705155170465,1.5,1199.1
132,201601,1.0,93.4,96.32,-0.05,0.845,0.7979999999999999,-5642.5,182.04073438902424,-1.125,-0.10399999999999987,3.1302359798038406,0.9186643037030128,0.11611958970746313,1.4,1236.7
133,201602,1.0,92.1,94.67,-0.03,0.846,0.7909999999999999,-7301.0,182.60670602615622,-1.125,-0.09099999999999997,3.0739435551423995,0.9169537287031002,0.11604516695425787,1.0000000000000004,1143.5
134,201603,1.0,93.8,103.73,0.01,0.8440000000000001,0.7859999999999999,-10049.999999999996,181.04096241170535,-1.125,-0.08500000000000019,3.114684198190731,0.9114732845633856,0.11285495295754785,1.2000000000000002,1139.3
135,201604,1.0,96.6,100.8,0.01,0.85,0.774,-9867.800000000003,179.62437199693235,-1.125,0.02299999999999991,3.071535182115792,0.9136957125659784,0.1121970513637049,1.4999999999999996,1191.7
136,201605,1.0,94.8,96.88,0.03,0.84,0.785,-7428.5,182.35179094142458,-1.125,0.05900000000000016,3.102416541894254,0.9172701949860724,0.11150715120985878,1.1999999999999997,1151.8
