,날짜,경제심리지수(순환변동치),뉴스심리지수,소비자심리지수,외국인 보유금액(조),외환보유액(천달러),미국M2,한국M2(십억원),한국금리,미국금리,경상수지,원달러종가,원달러시가
105,18-Oct,96.3,88.98,100.1,524.6,392490527 ,14199.92,2674506.5,1.5,2.13,9473.6,1140.6,1110
106,18-Nov,95.9,93.06,96.6,532.9,392777742 ,14242.1,2692974.8,1.75,2.13,5130.6,1121.8,1141.18
107,18-Dec,95.5,95.11,97.7,509.7,393332482 ,14433.86,2699882.3,1.75,2.38,4914.4,1118.1,1120.56
108,19-Jan,95.2,95.68,98.4,567.2,395148850 ,14434.38,2716722,1.75,2.38,2894.7,1117.2,1114.3
109,19-Feb,95,96.39,100.4,563.7,394316487 ,14387.63,2730481.9,1.75,2.38,3308.2,1117.8,1112.4
110,19-Mar,94.8,97.49,100.7,554.6,394770385 ,14546.35,2752723.9,1.75,2.38,4347,1137.8,1125.6
111,19-Apr,94.7,100.12,102.5,575.9,393536122 ,14628.16,2763058,1.75,2.38,527.4,1158.2,1137.02
112,19-May,94.5,95.9,98.8,532.4,391495228 ,14561.3,2771633,1.75,2.38,4983.2,1190,1164.25
113,19-Jun,94.4,95.9,98.4,559.8,392327320 ,14718.48,2799248,1.75,2.38,6166.1,1156.8,1188.8
114,19-Jul,94.3,91.79,96.9,543.3,392258292 ,14801.84,2811543.7,1.5,2.38,6957.2,1182,1156.43
115,19-Aug,94,84.96,93.4,526.5,390647791 ,14888.7,2832566.1,1.5,2.13,4983.5,1215.2,1188.32
116,19-Sep,93.4,95.8,97.9,555.8,392518896 ,14978.5,2853272,1.5,1.88,8014.3,1201.3,1209.77
117,19-Oct,92.4,92.52,99.5,560.6,395485316 ,15108.38,2874176.1,1.25,1.63,8035.8,1168.4,1199.09
118,19-Nov,90.8,103.43,101.8,558.4,396674028 ,15238.73,2901465.4,1.25,1.63,5876.6,1179.3,1170.24
119,19-Dec,88.4,105.38,101.4,593.2,397876077 ,15396.9,2912434.1,1.25,1.63,4636.9,1157.8,1181.42
120,20-Jan,85.2,103.6,105,581.5,398743181 ,15409.6,2929009.2,1.25,1.63,184.5,1183.5,1155.07
121,20-Feb,81.4,86.06,97.8,545.1,398315607 ,15360.25,2954603.8,1.25,1.63,6708.2,1215.9,1195.96
122,20-Mar,77.7,72.83,79.9,468.7,389322542 ,15947.68,2984304.3,0.75,0.13,5825.8,1222.6,1200.21
123,20-Apr,74.9,80.94,72.5,505,392733030 ,17047.93,3015816.4,0.75,0.13,4023.8,1225.2,1218.8
124,20-May,73.6,91.55,79.1,520.6,395719124 ,17698.9,3046050.5,0.5,0.13,1942.1,1239.4,1213.94
125,20-Jun,73.8,98.03,83.3,541.6,398627184 ,18060.2,3077284.1,0.5,0.13,7039.3,1200.7,1231.47
126,20-Jul,75.3,103.69,85.6,583.5,404236810 ,18257.25,3093300.1,0.5,0.13,7225.9,1191.4,1199.44
127,20-Aug,77.7,101.76,89.4,589.2,406600863 ,18299.62,3100373.4,0.5,0.13,6589,1185.1,1194.1
128,20-Sep,80.7,98.97,80.9,598.4,408231994 ,18536.93,3115238.9,0.5,0.13,10672.3,1173.5,1188.07
129,20-Oct,83.9,102.57,92.7,584.8,414167853 ,18655.48,3152811.6,0.5,0.13,12057.1,1133.4,1164.75
130,20-Nov,87.2,112.15,99,675.2,423963271 ,18950.4,3183500.9,0.5,0.13,9618.8,1104.4,1136.6
131,20-Dec,90.4,111.69,91,764.3,430117234 ,19229.1,3197671.2,0.5,0.13,12063,1088,1109.82
132,21-Jan,93.5,113.63,95.3,787.9,429558627 ,19365.73,3223486.7,0.5,0.13,5762.3,1114.6,1085.69
133,21-Feb,96.4,106.96,97.4,797.5,434365551 ,19467.7,3271405.8,0.5,0.13,6520.2,1108.4,1118.43
134,21-Mar,99,111.16,100.5,805.3,433222626 ,19870.52,3313182.2,0.5,0.13,6688.8,1133.5,1124.89
135,21-Apr,101.3,116.26,102.3,822.4,439294230 ,20266.13,3358874.9,0.5,0.13,518.1,1107.4,1127.96
136,21-May,103.1,115.89,105.3,820.2,443481045 ,20305.22,3379753.9,0.5,0.13,11307.2,1116,1117.76
137,21-Jun,104.6,115.06,110.5,842.3,441229418 ,20423.55,3413899.8,0.5,0.13,9972,1130,1108.08
138,21-Jul,105.6,115.81,103.4,811,445714839 ,20538.73,3445243,0.5,0.13,7387,1147.4,1130.63
139,21-Aug,106.2,110.37,102.7,797.9,439293477 ,20728.66,3487634.1,0.75,0.13,6701.4,1164.4,1151.9
140,21-Sep,106.6,106.44,103.9,769.2,439199800 ,20909.73,3513680.6,0.75,0.13,9510.3,1184.9,1158.95
141,21-Oct,106.8,103.24,107,742.7,444208416 ,21065.45,3543363.7,0.75,0.13,7903.9,1171.7,1184.78
142,21-Nov,106.8,110.67,107.9,733.4,439131372 ,21292.1,3594723.2,1,0.13,6592,1193.4,1174.61
143,21-Dec,106.6,109.96,104.1,783.2,438319248 ,21631.83,3620057.4,1,0.13,6365,1185.5,1182.84
144,22-Jan,106.1,103.4,104.7,721.4,436836167 ,21638.64,3634342.4,1.25,0.13,2244.1,1202.4,1189.8
145,22-Feb,105.4,103.83,103.3,723.8,437043509 ,21582.38,3656135.8,1.25,0.13,5866.5,1202.7,1204.75
146,22-Mar,104.5,102.37,103.5,724.2,433022025 ,21841.18,3672133.4,1.25,0.38,6770.8,1210.8,1201.18
147,22-Apr,103.5,104.61,104.1,695.7,425076761 ,21905.88,3676561.4,1.5,0.38,130.1,1269.4,1215.13
148,22-May,102.4,103.1,102.9,695.3,423355152 ,21558.64,3698958,1.75,0.88,3795.5,1245.8,1264.65
149,22-Jun,101.1,86.46,96.7,593,414491928 ,21574.48,3721122.7,1.75,1.63,6063.7,1292.9,1242.48
150,22-Jul,99.8,91.28,86.3,629.9,415046922 ,21579.68,3730448.8,2.25,2.38,1699.2,1304,1288.05
151,22-Aug,98.4,97.57,89,629.9,412848791 ,21560.7,3749204.9,2.5,2.38,2912.1,1347.5,1303.29
152,22-Sep,97,88.52,91.6,549.7,393596481 ,21485.48,3758122.4,2.5,3.13,2089,1434.8,1341.76
153,22-Oct,95.7,80.81,89,594.4,390643871 ,21394.08,3770500,3,3.13,1629.7,1419.3,1440.23
154,22-Nov,94.6,91.01,86.7,636.7,392302775 ,21397.78,3805856,3.25,3.88,222.8,1331.5,1427.03
155,22-Dec,93.6,84.74,90.2,571.6,399043064 ,21439.88,3800060.8,3.25,4.38,2677.2,1267.3,1301.72
156,23-Jan,92.9,91.95,90.7,634.9,405587805 ,21308.08,3795362.3,3.5,4.38,4212.3,1228.7,1261.95
157,23-Feb,92.4,98.02,90.2,634.1,401243805 ,21138.25,3806664.6,3.5,4.63,518.4,1317.4,1233.72
158,23-Mar,92.2,93.66,92,648.7,401730032 ,21059.53,3811138.9,3.5,4.88,158.1,1303.8,1323.44
159,23-Apr,92.2,96.85,95.1,660.6,402190255 ,20920.88,3793259.9,3.5,4.88,792.6,1339.9,1306.47
160,23-May,92.4,96.8,98,692.2,396787900 ,20726.76,3785013,3.5,5.13,1927.2,1322.2,1338.17
161,23-Jun,92.7,100.6,100.7,690.3,397202408 ,20806.15,3801207,3.5,5.13,5873.7,1312.8,1322.33
162,23-Jul,92.9,102.19,103.2,700.7,397490841 ,20787.72,3821877.2,3.5,5.38,3578.8,1280,1316.97
